Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,E6,Streptomycine_10MIC,in 10mM Water,Water,85.9726950720451,85,0,0.859726950720451,10,8.59726950720451,10mM,10,0.988686
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,C6,Streptomycine_1MIC,in 10mM Water,Water,8.59726950720451,7.5,0,0.859726950720451,1,0.859726950720451,10mM,10,0.87237
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,C8,Streptomycine_5MIC,in 10mM Water,Water,42.9863475360226,42.5,0,0.859726950720451,5,4.29863475360226,10mM,10,0.988685999999999
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,E8,Sulfamethoxazole_0.5MIC,in 10mM DMSO,DMSO,9.8704990524321,10,480,1.97409981048642,0.5,0.98704990524321,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,C4,Sulfamethoxazole_10MIC,in 10mM DMSO,DMSO,197.409981048642,197.5,292.5,1.97409981048642,10,19.7409981048642,10mM,10,1.000456
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,A2,Sulfamethoxazole_1MIC,in 10mM DMSO,DMSO,19.7409981048642,20,470,1.97409981048642,1,1.97409981048642,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,H11,Sulfamethoxazole_5MIC,in 10mM DMSO,DMSO,98.704990524321,97.5,392.5,1.97409981048642,5,9.8704990524321,10mM,10,0.987791999999999
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,F6,Trimethoprim_0.5MIC,in 10mM DMSO,DMSO,8.6111876550014,7.5,482.5,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,B4,Trimethoprim_10MIC,in 10mM DMSO,DMSO,172.223753100028,172.5,317.5,1.72223753100028,10,17.2223753100028,10mM,10,1.001604
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,D2,Trimethoprim_1MIC,in 10mM DMSO,DMSO,17.2223753100028,17.5,472.5,1.72223753100028,1,1.72223753100028,10mM,10,1.01612
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,D12,Trimethoprim_5MIC,in 10mM DMSO,DMSO,86.111876550014,85,405,1.72223753100028,5,8.6111876550014,10mM,10,0.987087999999997
