Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,K15,Amoxicillin_1MIC,2,in 1mM DMSO,DMSO,17.104,17.5,472.5,0,0.342081497495963,1,0.342081497495963,1mM,1,1.023148
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,K24,Ampicillin_0.5MIC,2,in 1mM DMSO,DMSO,8.944,10,480,0,0.357750010017,0.5,0.1788750050085,1mM,1,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,G13,Ampicillin_1MIC,2,in 1mM DMSO,DMSO,17.888,17.5,472.5,0,0.357750010017,1,0.357750010017,1mM,1,0.978336800000001
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,A13,BDM_0.5MIC,2,in 0.3mgmL DMSO,DMSO,10,10,480,0,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,E8,BDM_10MIC,2,in 0.3mgmL DMSO,DMSO,200,200,290,0,0.12,10,1.2,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,M7,BDM_1MIC,2,in 0.3mgmL DMSO,DMSO,20,20,470,0,0.12,1,0.12,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,C5,BDM_5MIC,2,in 0.3mgmL DMSO,DMSO,100,100,390,0,0.12,5,0.6,0.3mgmL,0.3,1
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,master plate,NA,96w_22atb_240703_plate4,J22,Cefotaxim_0.5MIC,2,in 1mM DMSO,DMSO,6.587,7.5,482.5,0,0.26346411399214,0.5,0.13173205699607,1mM,1,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,master plate,NA,96w_22atb_240703_plate4,C24,Doxycycline_0.5MIC,2,in 1mM DMSO,DMSO,6.75,7.5,482.5,0,0.270002700027,0.5,0.1350013500135,1mM,1,0.925916666666668
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,M10,Gepotidacin_0.5MIC,2,in 1mM DMSO,DMSO,11.148,12.5,477.5,0,0.446,0.5,0.222955498082582,1mM,1,1.00917
